time and date, Voltage of depth sensor (V), Depth (m)
2022-09-04T11:56:09,0.716,-0.13
2022-09-04T11:56:12,0.716,-0.13
2022-09-04T11:56:15,0.716,-0.13
2022-09-04T11:56:18,0.716,-0.13
2022-09-04T11:56:21,0.716,-0.13
2022-09-04T11:56:24,0.716,-0.13
